,moving_pixels
0,
1,0.5
2,1.4823619047619048
3,2.2235428571428573
4,2.9647238095238095
5,3.705904761904762
6,4.4470857142857145
7,5.188266666666666
8,5.929447619047619
9,6.670628571428572
10,7.411809523809524
11,8.152990476190476
12,8.894171428571429
13,9.635352380952382
14,10.376533333333333
15,11.117714285714285
16,11.858895238095238
17,12.60007619047619
18,13.341257142857144
19,14.082438095238095
20,14.823619047619047
21,15.5648
22,15.3993
23,15.215
24,15.0642
25,14.9048
26,14.6759
27,14.3573
28,13.9922
29,13.6982
30,13.3521
31,12.967
32,12.5524
33,12.2697
34,11.8845
35,11.4948
36,11.0622
37,10.612
38,10.101
39,9.6383
40,9.1973
41,8.7396
42,8.2231
43,7.8545
44,7.3944
45,6.9369
46,6.4748
47,5.998
48,5.5472
49,5.0987
50,4.6632
51,4.2578
52,3.9216
53,3.739
54,3.5625
55,3.3391
56,3.1577
57,2.9557
58,2.7969
59,2.5923
60,2.4615
61,2.2636
62,2.1765
63,2.0477
64,1.9757
65,1.8924
66,1.8805
67,1.8631
68,1.8377
69,1.772
70,1.7862
71,1.7882
72,1.7737
73,1.7946
74,1.737
75,1.7833
76,1.7598
77,1.7879
78,1.7419
79,1.6991
80,1.6852
81,1.6635
82,1.6664
83,1.6612
84,1.6736
85,1.6756
86,1.6513
87,1.6678
88,1.6594
89,1.6727
90,1.7069
91,1.6615
92,1.6687
93,1.7049
94,1.737
95,1.7049
96,1.6924
97,1.7459
98,1.7743
99,1.7836
100,1.7543
101,1.7341
102,1.7286
103,1.737
104,1.7604
105,1.7402
106,1.7295
107,1.7387
108,1.7112
109,1.6785
110,1.6597
111,1.6464
112,1.6412
113,1.6328
114,1.6392
115,1.6128
116,1.636
117,1.6554
118,1.6872
119,1.6427
120,1.6635
121,1.6745
122,1.6516
123,1.6542
124,1.6722
125,1.6837
126,1.6615
127,1.6736
128,1.6863
129,1.6794
130,1.6753
131,1.6701
132,1.6953
133,1.6753
134,1.6895
135,1.6736
136,1.6658
137,1.6594
138,1.6571
139,1.697
140,1.6956
141,1.6947
142,1.6846
143,1.6756
144,1.68
145,1.6678
146,1.6733
147,1.682
148,1.6562
149,1.6484
150,1.6907
151,1.7344
152,1.7315
153,1.7254
154,1.7425
155,1.7659
156,1.7888
157,1.8067
158,1.8194
159,1.7908
160,1.7781
161,1.7465
162,1.7639
163,1.7613
164,1.7543
165,1.7564
166,1.7624
167,1.7795
168,1.7532
169,1.7376
170,1.7011
171,1.6791
172,1.6782
173,1.6866
174,1.6565
175,1.6542
176,1.6635
177,1.6727
178,1.6675
179,1.6713
180,1.6872
181,1.6733
182,1.6881
183,1.6887
184,1.6707
185,1.6814
186,1.678
187,1.6849
188,1.6927
189,1.7367
190,1.7338
191,1.7396
192,1.748
193,1.7266
194,1.7486
195,1.7405
196,1.7176
197,1.7057
198,1.6982
199,1.726
200,1.7106
201,1.7083
202,1.7303
203,1.7465
204,1.7497
205,1.7445
206,1.6916
207,1.7471
208,1.7312
209,1.7312
210,1.7491
211,1.708
212,1.7263
213,1.7231
214,1.761
215,1.7326
216,1.7396
217,1.7613
218,1.7824
219,1.8119
220,1.8122
221,1.8041
222,1.8313
223,1.7928
224,1.8076
225,1.8226
226,1.8223
227,1.8134
228,1.82
229,1.8194
230,1.7995
231,1.7992
232,1.739
233,1.7604
234,1.7674
235,1.7561
236,1.7127
237,1.6936
238,1.6646
239,1.6681
240,1.6615
241,1.6829
242,1.6863
243,1.6505
244,1.6149
245,1.6444
246,1.6704
247,1.6447
248,1.6395
249,1.6386
250,1.6264
251,1.6267
252,1.6545
253,1.6299
254,1.6062
255,1.6386
256,1.6311
257,1.6696
258,1.6264
259,1.6317
260,1.6236
261,1.6296
262,1.6403
263,1.6837
264,1.6722
265,1.6973
266,1.6733
267,1.6817
268,1.6953
269,1.6629
270,1.6892
271,1.6774
272,1.6829
273,1.6762
274,1.6476
275,1.6276
276,1.6591
277,1.6467
278,1.6415
279,1.6473
280,1.6455
281,1.6664
282,1.6508
283,1.6638
284,1.6398
285,1.6594
286,1.636
287,1.6817
288,1.6788
289,1.6725
290,1.693
291,1.6939
292,1.6988
293,1.6991
294,1.7208
295,1.7147
296,1.73
297,1.7196
298,1.7052
299,1.6881
300,1.6725
301,1.6609
302,1.6681
303,1.605
304,1.5952
305,1.6019
306,1.6143
307,1.5984
308,1.5822
309,1.5807
310,1.5897
311,1.5723
312,1.5541
313,1.5295
314,1.5712
315,1.5723
316,1.5694
317,1.5848
318,1.6221
319,1.6157
320,1.5819
321,1.5906
322,1.6215
323,1.6479
324,1.662
325,1.6374
326,1.6429
327,1.6192
328,1.6351
329,1.6152
330,1.592
331,1.5501
332,1.5793
333,1.5663
334,1.5822
335,1.5611
336,1.5677
337,1.6207
338,1.5854
339,1.5825
340,1.6137
341,1.6314
342,1.627
343,1.6467
344,1.6568
345,1.6438
346,1.6713
347,1.6589
348,1.6427
349,1.6722
350,1.6701
351,1.6759
352,1.6892
353,1.7005
354,1.6609
355,1.6568
356,1.6863
357,1.6771
358,1.6632
359,1.6808
360,1.6991
361,1.669
362,1.669
363,1.6916
364,1.6918
365,1.7095
366,1.7002
367,1.7115
368,1.7054
369,1.6861
370,1.6892
371,1.702
372,1.7098
373,1.6956
374,1.7133
375,1.6973
376,1.6918
377,1.7078
378,1.7283
379,1.6973
380,1.7378
381,1.7176
382,1.7002
383,1.6832
384,1.7109
385,1.7321
386,1.7222
387,1.7306
388,1.7373
389,1.7367
390,1.7474
391,1.7471
392,1.7746
393,1.765
394,1.7459
395,1.7483
396,1.7402
397,1.7231
398,1.7746
399,1.7367
400,1.7199
401,1.7237
402,1.7251
403,1.748
404,1.7856
405,1.7859
406,1.7966
407,1.798
408,1.794
409,1.783
410,1.7529
411,1.7789
412,1.7853
413,1.7847
414,1.7335
415,1.7624
416,1.7428
417,1.7564
418,1.7242
419,1.7052
420,1.6884
421,1.68
422,1.6982
423,1.6939
424,1.7147
425,1.7286
426,1.7153
427,1.7176
428,1.7031
429,1.7277
430,1.7352
431,1.7066
432,1.7153
433,1.7202
434,1.7378
435,1.7433
436,1.7376
437,1.7517
438,1.7717
439,1.7749
440,1.7595
441,1.7558
442,1.7494
443,1.7598
444,1.7584
445,1.7639
446,1.7642
447,1.759
448,1.8053
449,1.8351
450,1.8076
451,1.7807
452,1.7514
453,1.7798
454,1.7723
455,1.7807
456,1.7659
457,1.8056
458,1.7772
459,1.7954
460,1.803
461,1.8015
462,1.7847
463,1.8128
464,1.7841
465,1.8585
466,1.8325
467,1.8385
468,1.8209
469,1.8134
470,1.8328
471,1.8053
472,1.838
473,1.8273
474,1.8258
475,1.8316
476,1.8212
477,1.8128
478,1.794
479,1.8275
480,1.8001
481,1.8212
482,1.7969
483,1.7674
484,1.7954
485,1.77
486,1.7844
487,1.7564
488,1.7607
489,1.7575
490,1.7656
491,1.7815
492,1.7743
493,1.7595
494,1.7225
495,1.7399
496,1.7315
497,1.7512
498,1.7332
499,1.7549
500,1.7219
501,1.7416
502,1.7598
503,1.7598
504,1.7607
505,1.7815
506,1.7844
507,1.7674
508,1.7711
509,1.7402
510,1.7112
511,1.73
512,1.7014
513,1.6999
514,1.7416
515,1.7121
516,1.7156
517,1.7023
518,1.7037
519,1.706
520,1.6826
521,1.656
522,1.6884
523,1.6727
524,1.6551
525,1.6739
526,1.695
527,1.6947
528,1.6962
529,1.7118
530,1.6962
531,1.7251
532,1.6997
533,1.7378
534,1.7376
535,1.7396
536,1.7326
537,1.713
538,1.7543
539,1.7072
540,1.6939
541,1.6678
542,1.6632
543,1.667
544,1.6493
545,1.6719
546,1.6412
547,1.6183
548,1.6175
549,1.5897
550,1.5767
551,1.5573
552,1.5888
553,1.5749
554,1.5553
555,1.5816
556,1.5466
557,1.5535
558,1.5741
559,1.6091
560,1.6036
561,1.5923
562,1.5938
563,1.6088
564,1.6461
565,1.6189
566,1.6577
567,1.6626
568,1.6678
569,1.6629
570,1.6525
571,1.695
572,1.7002
573,1.6878
574,1.7023
575,1.6858
576,1.6794
577,1.7028
578,1.7124
579,1.6872
580,1.6884
581,1.6907
582,1.6681
583,1.6369
584,1.6343
585,1.6134
586,1.6273
587,1.5987
588,1.603
589,1.6441
590,1.638
591,1.6502
592,1.6664
593,1.6794
594,1.673
595,1.6696
596,1.6742
597,1.6895
598,1.6832
599,1.6586
600,1.6655
601,1.6858
602,1.6739
603,1.6652
604,1.6536
605,1.6447
606,1.6256
607,1.6322
608,1.6073
609,1.5955
610,1.5856
611,1.6247
612,1.6007
613,1.6224
614,1.5911
615,1.6169
616,1.6288
617,1.6357
618,1.6311
619,1.6357
620,1.6727
621,1.7054
622,1.7092
623,1.704
624,1.7332
625,1.7271
626,1.7011
627,1.7306
628,1.7208
629,1.697
630,1.7008
631,1.6933
632,1.7367
633,1.73
634,1.741
635,1.7289
636,1.7274
637,1.7309
638,1.7205
639,1.7219
640,1.6808
641,1.6644
642,1.6672
643,1.6395
644,1.6508
645,1.6259
646,1.6279
647,1.6412
648,1.649
649,1.6519
650,1.6302
651,1.6354
652,1.6823
653,1.6759
654,1.7002
655,1.691
656,1.6924
657,1.6953
658,1.6936
659,1.662
660,1.6727
661,1.6551
662,1.6887
663,1.6985
664,1.7054
665,1.7289
666,1.6973
667,1.6716
668,1.682
669,1.6722
670,1.6698
671,1.6481
672,1.6508
673,1.6435
674,1.6354
675,1.6149
676,1.5521
677,1.5425
678,1.5631
679,1.5495
680,1.5501
681,1.5249
682,1.5289
683,1.5411
684,1.559
685,1.5654
686,1.57
687,1.5981
688,1.616
689,1.603
690,1.5775
691,1.5807
692,1.5755
693,1.6059
694,1.5718
695,1.5709
696,1.5735
697,1.5611
698,1.581
699,1.5671
700,1.568
701,1.5729
702,1.5564
703,1.5382
704,1.5307
705,1.4878
706,1.5153
707,1.5203
708,1.5532
709,1.5211
710,1.5243
711,1.5197
712,1.5087
713,1.5596
714,1.5541
715,1.57
716,1.5694
717,1.5828
718,1.5926
719,1.6036
720,1.6016
721,1.6519
722,1.6299
723,1.6227
724,1.6267
725,1.6181
726,1.6183
727,1.6207
728,1.6021
729,1.5628
730,1.5544
731,1.5885
732,1.57
733,1.5885
734,1.5909
735,1.6166
736,1.5854
737,1.5654
738,1.5666
739,1.588
740,1.5897
741,1.6111
742,1.6059
743,1.6126
744,1.5938
745,1.6056
746,1.6146
747,1.6157
748,1.6308
749,1.6774
750,1.6678
751,1.7002
752,1.7092
753,1.7104
754,1.7095
755,1.7133
756,1.7124
757,1.68
758,1.6519
759,1.6392
760,1.601
761,1.5975
762,1.6068
763,1.605
764,1.6013
765,1.6146
766,1.6389
767,1.6377
768,1.6395
769,1.647
770,1.6594
771,1.6539
772,1.6467
773,1.6606
774,1.6869
775,1.704
776,1.7199
777,1.7425
778,1.7063
779,1.7147
780,1.7049
781,1.7109
782,1.6953
783,1.7141
784,1.6898
785,1.6661
786,1.6519
787,1.6366
788,1.6719
789,1.6904
790,1.7161
791,1.6837
792,1.678
793,1.6823
794,1.6829
795,1.6409
796,1.6522
797,1.6377
798,1.6215
799,1.6586
800,1.6461
801,1.6389
802,1.6386
803,1.6363
804,1.6562
805,1.6719
806,1.6612
807,1.6369
808,1.6739
809,1.6606
810,1.6817
811,1.6739
812,1.6782
813,1.6753
814,1.6739
815,1.691
816,1.6782
817,1.6227
818,1.6603
819,1.667
820,1.6918
821,1.6861
822,1.7263
823,1.7109
824,1.6869
825,1.6988
826,1.6892
827,1.6849
828,1.6936
829,1.6907
830,1.6863
831,1.6944
832,1.6751
833,1.6675
834,1.695
835,1.6817
836,1.6759
837,1.7199
838,1.6892
839,1.7303
840,1.7017
841,1.6959
842,1.7326
843,1.7627
844,1.7633
845,1.7899
846,1.803
847,1.8466
848,1.8779
849,1.8819
850,1.9332
851,1.9294
852,1.956
853,2.0026
854,2.1519
855,2.2812
856,2.3848
857,2.5862
858,2.8536
859,3.0697
860,3.2867
861,3.5324
862,3.7847
863,3.9693
864,4.18
865,4.2729
866,4.4132
867,4.5191
868,4.6675
869,4.9945
870,5.3443
871,5.7341
872,6.1117
873,6.5802
874,7.0472
875,7.535
876,8.0359
877,8.4705
878,8.8232
879,9.1765
880,9.4034
881,9.7488
882,10.0272
883,10.3099
884,10.5802
885,10.8536
886,11.2488
887,11.6314
888,11.8536
889,12.1308
890,12.5165
891,12.8354
892,13.1293
893,13.2749
894,13.4534
895,13.5182
896,13.6508
897,13.8154
898,13.8631
899,13.9265
900,13.8397
901,13.752
902,13.5515
903,13.432
904,13.2428
905,12.9453
906,12.5828
907,12.4378
908,12.1259
909,11.8828
910,11.5608
911,11.3817
912,11.2225
913,11.0399
914,10.7705
915,10.4774
916,10.0848
917,9.7222
918,9.4141
919,9.0709
920,8.7839
921,8.4852
922,8.1889
923,8.0883
924,8.0428
925,7.9983
926,8.0153
927,7.9236
928,7.8235
929,7.7063
930,7.6357
931,7.5851
932,7.511
933,7.4222
934,7.3021
935,7.2465
936,7.1748
937,7.1675
938,7.1296
939,7.167
940,7.1597
941,7.1001
942,7.0064
943,6.9308
944,6.8704
945,6.8365
946,6.7662
947,6.7112
948,6.6441
949,6.5078
950,6.4031
951,6.2445
952,6.1916
953,6.1007
954,6.0767
955,5.9595
956,5.9497
957,5.9172
958,5.8793
959,5.8038
960,5.798
961,5.7827
962,5.7778
963,5.7034
964,5.5894
965,5.5258
966,5.4395
967,5.4051
968,5.322
969,5.2891
970,5.2483
971,5.208
972,5.1846
973,5.1236
974,5.0561
975,4.9702
976,4.8883
977,4.8018
978,4.763
979,4.713
980,4.634
981,4.4714
982,4.4068
983,4.3012
984,4.1803
985,4.0842
986,4.0052
987,3.9262
988,3.888
989,3.8461
990,3.8417
991,3.8652
992,3.8698
993,3.8435
994,3.8001
995,3.8061
996,3.8001
997,3.7248
998,3.6447
999,3.5793
1000,3.5298
1001,3.4635
1002,3.4094
1003,3.4097
1004,3.3666
1005,3.2841
1006,3.2384
1007,3.1751
1008,3.0706
1009,2.9925
1010,2.8906
1011,2.8056
1012,2.728
1013,2.6039
1014,2.5382
1015,2.4852
1016,2.3759
1017,2.2859
1018,2.2497
1019,2.1716
1020,2.1114
1021,2.0697
1022,2.0515
1023,2.0489
1024,2.0735
1025,2.046
1026,2.0544
1027,2.0556
1028,2.0677
1029,2.0344
1030,2.0663
1031,2.0929
1032,2.0602
1033,2.0547
1034,2.0709
1035,2.0683
1036,2.1094
1037,2.1291
1038,2.1519
1039,2.16
1040,2.1797
1041,2.1574
1042,2.18
1043,2.1704
1044,2.149
1045,2.1629
1046,2.1476
1047,2.1464
1048,2.1427
1049,2.0952
1050,2.1183
1051,2.0949
1052,2.1207
1053,2.1606
1054,2.1884
1055,2.2251
1056,2.2104
1057,2.2092
1058,2.1719
1059,2.0938
1060,2.1108
1061,2.1331
1062,2.1282
1063,2.16
1064,2.151
1065,2.178
1066,2.1768
1067,2.2089
1068,2.2144
1069,2.2376
1070,2.2433
1071,2.2943
1072,2.2619
1073,2.2523
1074,2.2517
1075,2.2526
1076,2.2818
1077,2.263
1078,2.2922
1079,2.303
1080,2.2885
1081,2.2804
1082,2.2506
1083,2.2069
1084,2.18
1085,2.1655
1086,2.116
1087,2.0894
1088,2.1291
1089,2.1053
1090,2.0859
1091,2.1481
1092,2.1968
1093,2.2517
1094,2.3145
1095,2.3941
1096,2.4829
1097,2.614
1098,2.6742
1099,2.7758
1100,2.9317
1101,3.1155
1102,3.3099
1103,3.4575
1104,3.6898
1105,4.0229
1106,4.4097
1107,4.7564
1108,5.0625
1109,5.5093
1110,6.1389
1111,6.6719
1112,7.2934
1113,7.5414
1114,7.8941
1115,8.0292
1116,8.0856
1117,8.099
1118,8.0217
1119,7.974
1120,7.932
1121,7.8226
1122,7.7234
1123,7.6513
1124,7.5226
1125,7.3501
1126,7.1832
1127,6.9207
1128,6.6236
1129,6.2318
1130,5.7801
1131,5.1635
1132,4.6548
1133,4.2318
1134,4.0376
1135,3.8597
1136,3.7124
1137,3.5822
1138,3.4291
1139,3.2977
1140,3.1615
1141,2.9777
1142,2.8264
1143,2.6531
1144,2.5515
1145,2.4902
1146,2.4268
1147,2.386
1148,2.3383
1149,2.2575
1150,2.2101
1151,2.0966
1152,2.0498
1153,2.0347
1154,1.9844
1155,1.9482
1156,1.9598
1157,1.9624
1158,1.9363
1159,1.9132
1160,1.9002
1161,1.8851
1162,1.8843
1163,1.8799
1164,1.8802
1165,1.8941
1166,1.884
1167,1.89
1168,1.8524
1169,1.884
1170,1.8953
1171,1.9129
1172,1.9308
1173,1.9219
1174,1.9369
1175,1.9575
1176,1.9413
1177,1.9612
1178,1.9722
1179,2.0281
1180,2.0275
1181,2.0333
1182,2.0312
1183,2.0599
1184,2.0836
1185,2.0437
1186,2.0709
1187,2.0828
1188,2.0628
1189,2.0992
1190,2.1262
1191,2.1195
1192,2.1236
1193,2.1178
1194,2.0955
1195,2.0631
1196,2.0451
1197,2.0289
1198,2.0622
1199,2.0619
1200,2.0877
1201,2.0755
1202,2.0718
1203,2.0943
1204,2.1259
1205,2.1354
1206,2.1357
1207,2.1169
1208,2.1091
1209,2.116
1210,2.136
1211,2.1088
1212,2.1308
1213,2.116
1214,2.134
1215,2.1334
1216,2.1372
1217,2.134
1218,2.1421
1219,2.1473
1220,2.1259
1221,2.0836
1222,2.0625
1223,2.0622
1224,2.0984
1225,2.0943
1226,2.0532
1227,2.0333
1228,2.0281
1229,2.0275
1230,2.0422
1231,2.0492
1232,2.0336
1233,2.0318
1234,2.0631
1235,2.0587
1236,2.0706
1237,2.0807
1238,2.0764
1239,2.0718
1240,2.1152
1241,2.0946
1242,2.1311
1243,2.1027
1244,2.1134
1245,2.1065
1246,2.1131
1247,2.1123
1248,2.1502
1249,2.1655
1250,2.1513
1251,2.1629
1252,2.1282
1253,2.1531
1254,2.1528
1255,2.1021
1256,2.1157
1257,2.1209
1258,2.1071
1259,2.101
1260,2.1001
1261,2.083
1262,2.0984
1263,2.1267
1264,2.1259
1265,2.1291
1266,2.1146
1267,2.1094
1268,2.1152
1269,2.134
1270,2.1337
1271,2.1453
1272,2.1487
1273,2.1493
1274,2.125
1275,2.1317
1276,2.1073
1277,2.0735
1278,2.0622
1279,2.0856
1280,2.1128
1281,2.0877
1282,2.134
1283,2.1045
1284,2.0854
1285,2.1212
1286,2.1073
1287,2.1392
1288,2.0877
1289,2.0984
1290,2.1108
1291,2.0828
1292,2.0787
1293,2.0793
1294,2.0613
1295,2.1291
1296,2.1128
1297,2.1345
1298,2.1163
1299,2.156
1300,2.1435
1301,2.1803
1302,2.1956
1303,2.259
1304,2.3145
1305,2.2931
1306,2.3058
1307,2.349
1308,2.3657
1309,2.3652
1310,2.3646
1311,2.3903
1312,2.3799
1313,2.3935
1314,2.4103
1315,2.4155
1316,2.4688
1317,2.4722
1318,2.537
1319,2.5839
1320,2.6097
1321,2.6453
1322,2.6424
1323,2.6334
1324,2.6913
1325,2.6866
1326,2.7619
1327,2.7711
1328,2.7648
1329,2.8137
1330,2.8258
1331,2.8782
1332,2.9416
1333,3.0052
1334,3.0917
1335,3.1594
1336,3.1988
1337,3.2329
1338,3.2454
1339,3.3015
1340,3.2957
1341,3.2992
1342,3.3038
1343,3.3168
1344,3.3547
1345,3.333
1346,3.3258
1347,3.3122
1348,3.3354
1349,3.3215
1350,3.3235
1351,3.2679
1352,3.294
1353,3.2656
1354,3.2413
1355,3.2338
1356,3.261
1357,3.2593
1358,3.219
1359,3.1806
1360,3.1944
1361,3.208
1362,3.2523
1363,3.2306
1364,3.202
1365,3.281
1366,3.3351
1367,3.3597
1368,3.4317
1369,3.4988
1370,3.6079
1371,3.649
1372,3.7824
1373,3.7876
1374,3.7954
1375,3.9132
1376,4.0723
1377,4.1455
1378,4.2613
1379,4.3941
1380,4.4609
1381,4.5359
1382,4.695
1383,4.7804
1384,4.8912
1385,4.9039
1386,4.9942
1387,5.0327
1388,5.1062
1389,5.2373
1390,5.316
1391,5.3044
1392,5.349
1393,5.2977
1394,5.2934
1395,5.2552
1396,5.219
1397,5.2173
1398,5.147
1399,5.0674
1400,4.9884
1401,4.9925
1402,4.9659
1403,5.0101
1404,5.048
1405,5.2112
1406,5.3825
1407,5.452
1408,5.6334
1409,5.7847
1410,5.9783
1411,6.1291
1412,6.2624
1413,6.3513
1414,6.5469
1415,6.7023
1416,6.8666
1417,6.9884
1418,7.0668
1419,7.2607
1420,7.4693
1421,7.6953
1422,7.9864
1423,8.2633
1424,8.4745
1425,8.7072
1426,8.8857
1427,9.1082
1428,9.2575
1429,9.5949
1430,9.7546
1431,9.9968
1432,10.2567
1433,10.6137
1434,10.9988
1435,11.4175
1436,11.7593
1437,12.1065
1438,12.5495
1439,12.9812
1440,13.4025
1441,13.7668
1442,14.0645
1443,14.3287
1444,14.4682
1445,14.7361
1446,15.0472
1447,15.4861
1448,15.9986
1449,16.583
1450,17.2329
1451,17.9959
1452,18.5544
1453,19.0017
1454,19.2459
1455,19.5425
1456,19.8947
1457,20.2419
1458,20.6829
1459,21.0171
1460,21.2824
1461,21.5307
1462,21.6797
1463,21.9852
1464,22.0584
1465,22.1047
1466,22.1441
1467,22.0521
1468,21.9129
1469,21.7413
1470,21.5903
1471,21.5573
1472,21.6372
1473,21.5689
1474,21.4986
1475,21.3348
1476,21.1204
1477,20.9902
1478,20.7526
1479,20.669
1480,20.5234
1481,20.3053
1482,20.0567
1483,19.6811
1484,19.1696
1485,18.7885
1486,18.1808
1487,18.0955
1488,17.4899
1489,16.8154
1490,16.1149
1491,15.447
1492,14.8096
1493,14.2399
1494,13.6357
1495,13.1334
1496,12.6238
1497,12.2526
1498,12.0359
1499,11.9123
1500,11.8247
1501,11.7358
1502,11.6091
1503,11.5046
1504,11.3843
1505,11.2109
1506,10.6189
1507,10.4462
1508,10.2514
1509,9.9777
1510,9.8345
1511,9.6296
1512,9.4201
1513,9.2164
1514,9.1131
1515,8.9595
1516,8.8099
1517,8.6887
1518,8.5532
1519,8.4615
1520,8.4155
1521,8.2758
1522,8.322
1523,8.4349
1524,8.5405
1525,8.7911
1526,8.9262
1527,9.077
1528,9.2778
1529,9.4922
1530,9.6869
1531,9.8244
1532,9.917
1533,10.0226
1534,10.0891
1535,10.0877
1536,10.0229
1537,10.0208
1538,9.9531
1539,9.9204
1540,9.8516
1541,9.8675
1542,9.8712
1543,9.945
1544,10.059
1545,10.2216
1546,10.377
1547,10.5616
1548,10.7685
1549,10.8953
1550,11.079
1551,11.2031
1552,11.2989
1553,11.362
1554,11.3547
1555,11.3406
1556,11.3041
1557,11.2619
1558,11.2514
1559,11.0891
1560,10.9427
1561,10.8435
1562,10.5616
1563,10.3611
1564,9.9919
1565,9.7457
1566,
1567,0.5
1568,1.4823619047619048
1569,2.2235428571428573
1570,2.9647238095238095
1571,3.705904761904762
1572,4.4470857142857145
1573,5.188266666666666
1574,5.929447619047619
1575,6.670628571428572
1576,7.411809523809524
1577,8.152990476190476
1578,8.894171428571429
1579,9.635352380952382
1580,10.376533333333333
1581,11.117714285714285
1582,11.858895238095238
1583,12.60007619047619
1584,13.341257142857144
1585,14.082438095238095
1586,14.823619047619047
1587,15.5648
1588,15.3993
1589,15.215
1590,15.0642
1591,14.9048
1592,14.6759
1593,14.3573
1594,13.9922
1595,13.6982
1596,13.3521
1597,12.967
1598,12.5524
1599,12.2697
1600,11.8845
1601,11.4948
1602,11.0622
1603,10.612
1604,10.101
1605,9.6383
1606,9.1973
1607,8.7396
1608,8.2231
1609,7.8545
1610,7.3944
1611,6.9369
1612,6.4748
1613,5.998
1614,5.5472
1615,5.0987
1616,4.6632
1617,4.2578
1618,3.9216
1619,3.739
1620,3.5625
1621,3.3391
1622,3.1577
1623,2.9557
1624,2.7969
1625,2.5923
1626,2.4615
1627,2.2636
1628,2.1765
1629,2.0477
1630,1.9757
1631,1.8924
1632,1.8805
1633,1.8631
1634,1.8377
1635,1.772
1636,1.7862
1637,1.7882
1638,1.7737
1639,1.7946
1640,1.737
1641,1.7833
1642,1.7598
1643,1.7879
1644,1.7419
1645,1.6991
1646,1.6852
1647,1.6635
1648,1.6664
1649,1.6612
1650,1.6736
1651,1.6756
1652,1.6513
1653,1.6678
1654,1.6594
1655,1.6727
1656,1.7069
1657,1.6615
1658,1.6687
1659,1.7049
1660,1.737
